,PubChemID,SMILES,logKp,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,amide_amide,amide_amides,amine_amine,alkyl-amine_alkyl-amine,aromatic amine_aromatic amine,aromatic nitrogen_aromatic nitrogen,basic nitrogen_basic nitrogen,acidic oxygen_acidic oxygen,acidic oxygen_acidic oxygens,AA,ALCOHOL,ALIPH. MISC.,AROM. MISC.,AZEPANE,AZONE OTHER,CAPROLACTAM,ESTER,ETHER,FATTY ACID,INORGANIC MISC.,MORPHOLINE,PIPERAZINE,PIPERIDINE,PIPERIDONE,POLYOL,PYRROLIDINE,PYRROLIDONE,STEROID,SUCCINIMIDE,SURF,TERP
38,702,CCO,-3.50,46.0686,0.0505,-0.477,1,1,20.23,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,887,CO,-2.80,32.0418,-0.3558,-0.177,1,1,20.23,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1031,CCCO,-2.91,60.0955,0.5049,-0.747,1,1,20.23,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,263,CCCCO,-1.55,74.1224,0.9593,-1.017,1,1,20.23,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6276,CCCCCO,-2.22,88.1493,1.4137,-1.287,1,1,20.23,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7856,C(C#N)Cl,-1.0,75.4979,0.4521,-1.533,1,0,23.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3496,C(C(=O)O)NCP(=O)(O)O,-3.33,169.07299999999995,-6.2784,0.343,6,4,116.67,4,0,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,14223,C(CO)N(CCO)N=O,-2.39,134.134,-1.1784,0.612,5,2,73.13,4,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,18177,C(#N)C(Cl)Cl,-0.82,109.943,0.8543,-1.83,1,0,23.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,18617,C(#N)C(Br)Br,-0.77,198.845,1.1163,-2.114,1,0,23.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
